competitionId,goalsHomeTeam,placeId,awayTeamId,goalsAwayTeam,status,homeTeamId,date
382,5,NULL,769,0,FINISHED,764,1954-06-15T23:00:00Z
382,3,NULL,805,3,FINISHED,770,1954-06-16T23:00:00Z
382,4,NULL,803,1,FINISHED,821,1954-06-16T23:00:00Z
382,9,NULL,772,0,FINISHED,827,1954-06-16T23:00:00Z
382,2,NULL,784,1,FINISHED,788,1954-06-16T23:00:00Z
382,7,NULL,814,0,FINISHED,758,1954-06-18T23:00:00Z
382,5,NULL,822,0,FINISHED,816,1954-06-18T23:00:00Z
382,1,NULL,812,1,FINISHED,764,1954-06-18T23:00:00Z
382,3,NULL,769,2,FINISHED,773,1954-06-18T23:00:00Z
382,2,NULL,788,0,FINISHED,770,1954-06-19T23:00:00Z
382,4,NULL,805,1,FINISHED,784,1954-06-19T23:00:00Z
382,7,NULL,772,0,FINISHED,803,1954-06-19T23:00:00Z
382,8,NULL,821,3,FINISHED,827,1954-06-19T23:00:00Z
382,4,NULL,784,1,FINISHED,788,1954-06-22T23:00:00Z
382,7,NULL,803,2,FINISHED,821,1954-06-22T23:00:00Z
382,7,NULL,788,5,FINISHED,816,1954-06-25T23:00:00Z
382,4,NULL,770,2,FINISHED,758,1954-06-25T23:00:00Z
382,4,NULL,764,2,FINISHED,827,1954-06-26T23:00:00Z
382,2,NULL,812,0,FINISHED,821,1954-06-26T23:00:00Z
382,6,NULL,816,1,FINISHED,821,1954-06-29T23:00:00Z
382,2,NULL,758,2,FINISHED,827,1954-06-29T23:00:00Z
382,3,NULL,758,1,FINISHED,816,1954-07-02T23:00:00Z
382,3,NULL,827,2,FINISHED,821,1954-07-03T23:00:00Z
374,2,NULL,770,2,FINISHED,823,1958-06-07T23:00:00Z
374,1,NULL,833,1,FINISHED,827,1958-06-07T23:00:00Z
374,3,NULL,769,0,FINISHED,792,1958-06-07T23:00:00Z
374,1,NULL,821,3,FINISHED,762,1958-06-07T23:00:00Z
374,1,NULL,822,0,FINISHED,829,1958-06-07T23:00:00Z
374,7,NULL,761,3,FINISHED,773,1958-06-07T23:00:00Z
374,3,NULL,816,0,FINISHED,764,1958-06-07T23:00:00Z
374,1,NULL,814,1,FINISHED,812,1958-06-07T23:00:00Z
374,3,NULL,773,2,FINISHED,812,1958-06-10T23:00:00Z
374,2,NULL,822,2,FINISHED,821,1958-06-10T23:00:00Z
374,3,NULL,829,1,FINISHED,762,1958-06-10T23:00:00Z
374,3,NULL,814,2,FINISHED,761,1958-06-10T23:00:00Z
374,1,NULL,833,1,FINISHED,769,1958-06-10T23:00:00Z
374,0,NULL,770,0,FINISHED,764,1958-06-10T23:00:00Z
374,2,NULL,816,0,FINISHED,823,1958-06-10T23:00:00Z
374,2,NULL,827,1,FINISHED,792,1958-06-11T23:00:00Z
374,4,NULL,769,0,FINISHED,827,1958-06-14T23:00:00Z
