match_fifa_id,datetime,matchnum,group_name,stadium,city,teams_info,status,score_text,reasonwin,teamHomeId,urlHome,teamHome,shortHomeTeam,teamAwayId,urlAway,teamAway,shortAwayTeam,goalsHomeTeam,goalsAwayTeam,extraTimeHomeGoals,extraTimeAwayGoals,penaltyShootoutHomeGoals,penaltyShootoutAwayGoals,tournament,date,time
97410001,2006-06-09T18:00Z,Match 1,Group A,"FIFA World Cup Stadium, Munich",Munich,,Full-time,4-2,,43948,img.fifa.com/images/flags/4/ger.png,Germany,GER,43901,img.fifa.com/images/flags/4/crc.png,Costa Rica,CRC,4,2,,,,,germany2006,2006-06-09 00:00:00,18:00
97410002,2006-06-09T21:00Z,Match 2,Group A,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen,,Full-time,0-2,,43962,img.fifa.com/images/flags/4/pol.png,Poland,POL,43927,img.fifa.com/images/flags/4/ecu.png,Ecuador,ECU,0,2,,,,,germany2006,2006-06-09 00:00:00,21:00
97410003,2006-06-10T15:00Z,Match 3,Group B,"FIFA World Cup Stadium, Frankfurt",Frankfurt/Main,,Full-time,1-0,,43942,img.fifa.com/images/flags/4/eng.png,England,ENG,43928,img.fifa.com/images/flags/4/par.png,Paraguay,PAR,1,0,,,,,germany2006,2006-06-10 00:00:00,15:00
97410004,2006-06-10T18:00Z,Match 4,Group B,"FIFA World Cup Stadium, Dortmund",Dortmund,,Full-time,0-0,,43920,img.fifa.com/images/flags/4/tri.png,Sweden,SWE,<div clas,,,,0,0,,,,,germany2006,2006-06-10 00:00:00,18:00
97410005,2006-06-10T21:00Z,Match 5,Group C,"FIFA World Cup Stadium, Hamburg",Hamburg,,Full-time,2-1,,43922,img.fifa.com/images/flags/4/arg.png,Argentina,ARG,43854,img.fifa.com/images/flags/4/civ.png,C̫te d'Ivoire,CIV,2,1,,,,,germany2006,2006-06-10 00:00:00,21:00
97410006,2006-06-11T15:00Z,Match 6,Group C,Zentralstadion,Leipzig,,Full-time,0-1,,1890244,img.fifa.com/images/flags/4/scg.png,Netherlands,NED,<div clas,,,,0,1,,,,,germany2006,2006-06-11 00:00:00,15:00
97410007,2006-06-11T18:00Z,Match 7,Group D,Franken-Stadion,Nuremberg,,Full-time,3-1,,43911,img.fifa.com/images/flags/4/mex.png,Mexico,MEX,43817,img.fifa.com/images/flags/4/irn.png,IR Iran,IRN,3,1,,,,,germany2006,2006-06-11 00:00:00,18:00
97410008,2006-06-11T21:00Z,Match 8,Group D,"FIFA World Cup Stadium, Cologne",Cologne,,Full-time,0-1,,43844,img.fifa.com/images/flags/4/ang.png,Angola,ANG,43963,img.fifa.com/images/flags/4/por.png,Portugal,POR,0,1,,,,,germany2006,2006-06-11 00:00:00,21:00
97410012,2006-06-12T15:00Z,Match 12,Group F,Fritz-Walter-Stadion,Kaiserslautern,,Full-time,3-1,,43976,img.fifa.com/images/flags/4/aus.png,Australia,AUS,43819,img.fifa.com/images/flags/4/jpn.png,Japan,JPN,3,1,,,,,germany2006,2006-06-12 00:00:00,15:00
97410010,2006-06-12T18:00Z,Match 10,Group E,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen,,Full-time,0-3,,43921,img.fifa.com/images/flags/4/usa.png,USA,USA,43995,img.fifa.com/images/flags/4/cze.png,Czech Republic,CZE,0,3,,,,,germany2006,2006-06-12 00:00:00,18:00
97410009,2006-06-12T21:00Z,Match 9,Group E,"FIFA World Cup Stadium, Hanover",Hanover,,Full-time,2-0,,43954,img.fifa.com/images/flags/4/ita.png,Italy,ITA,43860,img.fifa.com/images/flags/4/gha.png,Ghana,GHA,2,0,,,,,germany2006,2006-06-12 00:00:00,21:00
97410014,2006-06-13T15:00Z,Match 14,Group G,"FIFA World Cup Stadium, Frankfurt",Frankfurt/Main,,Full-time,2-1,,43822,img.fifa.com/images/flags/4/kor.png,Korea Republic,KOR,43887,img.fifa.com/images/flags/4/tog.png,Togo,TOG,2,1,,,,,germany2006,2006-06-13 00:00:00,15:00
