match_fifa_id,datetime,matchnum,group_name,stadium,city,teams_info,status,score_text,reasonwin,teamHomeId,urlHome,teamHome,shortHomeTeam,teamAwayId,urlAway,teamAway,shortAwayTeam,goalsHomeTeam,goalsAwayTeam,extraTimeHomeGoals,extraTimeAwayGoals,penaltyShootoutHomeGoals,penaltyShootoutAwayGoals,tournament,date,time
300186456,2014-06-12T17:00Z,Match 1,Group A,Arena de Sao Paulo,Sao Paulo,,Full-time,3-1,,43924,img.fifa.com/images/flags/4/bra.png,Brazil,BRA,43938,img.fifa.com/images/flags/4/cro.png,Croatia,CRO,3,1,,,,,brazil2014,2014-06-12 00:00:00,17:00
300186492,2014-06-13T13:00Z,Match 2,Group A,Estadio das Dunas,Natal,,Full-time,1-0,,43911,img.fifa.com/images/flags/4/mex.png,Mexico,MEX,43849,img.fifa.com/images/flags/4/cmr.png,Cameroon,CMR,1,0,,,,,brazil2014,2014-06-13 00:00:00,13:00
300186510,2014-06-13T16:00Z,Match 3,Group B,Arena Fonte Nova,Salvador,,Full-time,1-5,,43969,img.fifa.com/images/flags/4/esp.png,Spain,ESP,43960,img.fifa.com/images/flags/4/ned.png,Netherlands,NED,1,5,,,,,brazil2014,2014-06-13 00:00:00,16:00
300186473,2014-06-13T18:00Z,Match 4,Group B,Arena Pantanal,Cuiaba,,Full-time,3-1,,43925,img.fifa.com/images/flags/4/chi.png,Chile,CHI,43976,img.fifa.com/images/flags/4/aus.png,Australia,AUS,3,1,,,,,brazil2014,2014-06-13 00:00:00,18:00
300186471,2014-06-14T13:00Z,Match 5,Group C,Estadio Mineirao,Belo Horizonte,,Full-time,3-0,,43926,img.fifa.com/images/flags/4/col.png,Colombia,COL,43949,img.fifa.com/images/flags/4/gre.png,Greece,GRE,3,0,,,,,brazil2014,2014-06-14 00:00:00,13:00
300186489,2014-06-14T16:00Z,Match 7,Group D,Estadio Castelao,Fortaleza,,Full-time,1-3,,43930,img.fifa.com/images/flags/4/uru.png,Uruguay,URU,43901,img.fifa.com/images/flags/4/crc.png,Costa Rica,CRC,1,3,,,,,brazil2014,2014-06-14 00:00:00,16:00
300186513,2014-06-14T18:00Z,Match 8,Group D,Arena Amazonia,Manaus,,Full-time,1-2,,43942,img.fifa.com/images/flags/4/eng.png,England,ENG,43954,img.fifa.com/images/flags/4/ita.png,Italy,ITA,1,2,,,,,brazil2014,2014-06-14 00:00:00,18:00
300186507,2014-06-14T22:00Z,Match 6,Group C,Arena Pernambuco,Recife,,Full-time,2-1,,43854,img.fifa.com/images/flags/4/civ.png,C̫te d'Ivoire,CIV,43819,img.fifa.com/images/flags/4/jpn.png,Japan,JPN,2,1,,,,,brazil2014,2014-06-14 00:00:00,22:00
300186494,2014-06-15T13:00Z,Match 9,Group E,Estadio Nacional,Brasilia,,Full-time,2-1,,43971,img.fifa.com/images/flags/4/sui.png,Switzerland,SUI,43927,img.fifa.com/images/flags/4/ecu.png,Ecuador,ECU,2,1,,,,,brazil2014,2014-06-15 00:00:00,13:00
300186496,2014-06-15T16:00Z,Match 10,Group E,Estadio Beira-Rio,Porto Alegre,,Full-time,3-0,,43946,img.fifa.com/images/flags/4/fra.png,France,FRA,43909,img.fifa.com/images/flags/4/hon.png,Honduras,HON,3,0,,,,,brazil2014,2014-06-15 00:00:00,16:00
300186477,2014-06-15T19:00Z,Match 11,Group F,Estadio do Maracana,Rio De Janeiro,,Full-time,2-1,,43922,img.fifa.com/images/flags/4/arg.png,Argentina,ARG,44037,img.fifa.com/images/flags/4/bih.png,"ags/4/bih.png"" alt=""Bosnia and Herzegovina"" title=""Bosnia and Herzegovina"" class=""BIH i-4-flag flag"" />",BIH,2,1,,,,,brazil2014,2014-06-15 00:00:00,19:00
300186475,2014-06-16T13:00Z,Match 13,Group G,Arena Fonte Nova,Salvador,,Full-time,4-0,,43948,img.fifa.com/images/flags/4/ger.png,Germany,GER,43963,img.fifa.com/images/flags/4/por.png,Portugal,POR,4,0,,,,,brazil2014,2014-06-16 00:00:00,13:00
300186505,2014-06-16T16:00Z,Match 12,Group F,Arena da Baixada,Curitiba,,Full-time,0-0,,43817,img.fifa.com/images/flags/4/irn.png,IR Iran,IRN,43876,img.fifa.com/images/flags/4/nga.png,Nigeria,NGA,0,0,,,,,brazil2014,2014-06-16 00:00:00,16:00
300186512,2014-06-16T19:00Z,Match 14,Group G,Estadio das Dunas,Natal,,Full-time,1-2,,43860,img.fifa.com/images/flags/4/gha.png,Ghana,GHA,43921,img.fifa.com/images/flags/4/usa.png,USA,USA,1,2,,,,,brazil2014,2014-06-16 00:00:00,19:00
300186479,2014-06-17T13:00Z,Match 15,Group H,Estadio Mineirao,Belo Horizonte,,Full-time,2-1,,43935,img.fifa.com/images/flags/4/bel.png,Belgium,BEL,43843,img.fifa.com/images/flags/4/alg.png,Algeria,ALG,2,1,,,,,brazil2014,2014-06-17 00:00:00,13:00
300186509,2014-06-17T16:00Z,Match 17,Group A,Estadio Castelao,Fortaleza,,Full-time,0-0,,43924,img.fifa.com/images/flags/4/bra.png,Brazil,BRA,43911,img.fifa.com/images/flags/4/mex.png,Mexico,MEX,0,0,,,,,brazil2014,2014-06-17 00:00:00,16:00
300186499,2014-06-17T18:00Z,Match 16,Group H,Arena Pantanal,Cuiaba,,Full-time,1-1,,43965,img.fifa.com/images/flags/4/rus.png,Russia,RUS,43822,img.fifa.com/images/flags/4/kor.png,Korea Republic,KOR,1,1,,,,,brazil2014,2014-06-17 00:00:00,18:00
300186478,2014-06-18T13:00Z,Match 20,Group B,Estadio Beira-Rio,Porto Alegre,,Full-time,2-3,,43976,img.fifa.com/images/flags/4/aus.png,Australia,AUS,43960,img.fifa.com/images/flags/4/ned.png,Netherlands,NED,2,3,,,,,brazil2014,2014-06-18 00:00:00,13:00
300186498,2014-06-18T16:00Z,Match 19,Group B,Estadio do Maracana,Rio De Janeiro,,Full-time,0-2,,43969,img.fifa.com/images/flags/4/esp.png,Spain,ESP,43925,img.fifa.com/images/flags/4/chi.png,Chile,CHI,0,2,,,,,brazil2014,2014-06-18 00:00:00,16:00
300186453,2014-06-18T18:00Z,Match 18,Group A,Arena Amazonia,Manaus,,Full-time,0-4,,43849,img.fifa.com/images/flags/4/cmr.png,Cameroon,CMR,43938,img.fifa.com/images/flags/4/cro.png,Croatia,CRO,0,4,,,,,brazil2014,2014-06-18 00:00:00,18:00
300186468,2014-06-19T13:00Z,Match 21,Group C,Estadio Nacional,Brasilia,,Full-time,2-1,,43926,img.fifa.com/images/flags/4/col.png,Colombia,COL,43854,img.fifa.com/images/flags/4/civ.png,C̫te d'Ivoire,CIV,2,1,,,,,brazil2014,2014-06-19 00:00:00,13:00
300186486,2014-06-19T16:00Z,Match 23,Group D,Arena de Sao Paulo,Sao Paulo,,Full-time,2-1,,43930,img.fifa.com/images/flags/4/uru.png,Uruguay,URU,43942,img.fifa.com/images/flags/4/eng.png,England,ENG,2,1,,,,,brazil2014,2014-06-19 00:00:00,16:00
300186454,2014-06-19T19:00Z,Match 22,Group C,Estadio das Dunas,Natal,,Full-time,0-0,,43819,img.fifa.com/images/flags/4/jpn.png,Japan,JPN,43949,img.fifa.com/images/flags/4/gre.png,Greece,GRE,0,0,,,,,brazil2014,2014-06-19 00:00:00,19:00
300186500,2014-06-20T13:00Z,Match 24,Group D,Arena Pernambuco,Recife,,Full-time,0-1,,43954,img.fifa.com/images/flags/4/ita.png,Italy,ITA,43901,img.fifa.com/images/flags/4/crc.png,Costa Rica,CRC,0,1,,,,,brazil2014,2014-06-20 00:00:00,13:00
