status,id,awayTeamName,awayTeamId,competitionId,matchday,homeTeamId,homeTeamName,odds,result,date,goalsHomeTeam,goalsAwayTeam,AccomGoalsHomeTeam,AccomGoalsAwayTeam,AccomTotalGoals,gdX,gdY,rankX,rankY,extraTimeHomeGoals,extraTimeAwayGoals,penaltyShootoutHomeGoals,penaltyShootoutAwayGoals
FINISHED,165092,Costa Rica,793,467,2,764,Brazil,,"{'halfTime': {'goalsHomeTeam': 0, 'goalsAwayTeam': 0}, 'goalsHomeTeam': 2, 'goalsAwayTeam': 0}",2018-06-22T12:00:00Z,2,0,3,0,74,0,1,1,4,NULL,NULL,NULL,NULL
FINISHED,165098,Iceland,1066,467,2,776,Nigeria,,"{'goalsHomeTeam': 2, 'goalsAwayTeam': 0}",2018-06-22T15:00:00Z,2,0,2,1,77,3,0,3,4,NULL,NULL,NULL,NULL
FINISHED,165091,Switzerland,788,467,2,780,Serbia,,"{'goalsHomeTeam': 1, 'goalsAwayTeam': 2}",2018-06-22T18:00:00Z,1,2,2,3,82,0,1,3,2,NULL,NULL,NULL,NULL
FINISHED,165088,Tunisia,802,467,2,805,Belgium,,"{'goalsHomeTeam': 5, 'goalsAwayTeam': 2}",2018-06-23T12:00:00Z,5,2,8,3,93,3,1,1,3,NULL,NULL,NULL,NULL
FINISHED,165089,Mexico,769,467,2,772,Korea Republic,,"{'goalsHomeTeam': 1, 'goalsAwayTeam': 2}",2018-06-23T15:00:00Z,1,2,1,3,97,1,1,3,2,NULL,NULL,NULL,NULL
FINISHED,165090,Sweden,792,467,2,759,Germany,,"{'goalsHomeTeam': 2, 'goalsAwayTeam': 1}",2018-06-23T18:00:00Z,2,1,2,2,101,1,1,4,1,NULL,NULL,NULL,NULL
FINISHED,165093,Panama,1836,467,2,770,England,,"{'goalsHomeTeam': 6, 'goalsAwayTeam': 1}",2018-06-24T12:00:00Z,6,1,8,1,110,3,1,2,4,NULL,NULL,NULL,NULL
FINISHED,165095,Senegal,804,467,2,766,Japan,,"{'goalsHomeTeam': 2, 'goalsAwayTeam': 2}",2018-06-24T15:00:00Z,2,2,4,4,118,2,1,2,3,NULL,NULL,NULL,NULL
FINISHED,165097,Colombia,818,467,2,794,Poland,,"{'goalsHomeTeam': 0, 'goalsAwayTeam': 3}",2018-06-24T18:00:00Z,0,3,1,4,123,2,1,4,1,NULL,NULL,NULL,NULL
FINISHED,165111,Egypt,825,467,3,801,Saudi Arabia,,"{'goalsHomeTeam': 2, 'goalsAwayTeam': 1}",2018-06-25T14:00:00Z,2,1,2,2,127,0,0,3,4,NULL,NULL,NULL,NULL
FINISHED,165101,Russia,808,467,3,758,Uruguay,,"{'goalsHomeTeam': 3, 'goalsAwayTeam': 0}",2018-06-25T14:00:00Z,3,0,5,8,140,0,0,1,2,NULL,NULL,NULL,NULL
FINISHED,165112,Portugal,765,467,3,840,Iran,,"{'goalsHomeTeam': 1, 'goalsAwayTeam': 1}",2018-06-25T18:00:00Z,1,1,2,5,147,1,0,3,2,NULL,NULL,NULL,NULL
FINISHED,165109,Morocco,815,467,3,760,Spain,,"{'goalsHomeTeam': 2, 'goalsAwayTeam': 2}",2018-06-25T18:00:00Z,2,2,6,2,155,1,0,1,4,NULL,NULL,NULL,NULL
FINISHED,165113,France,773,467,3,782,Denmark,,"{'goalsHomeTeam': 0, 'goalsAwayTeam': 0}",2018-06-26T14:00:00Z,0,0,2,3,160,2,0,2,1,NULL,NULL,NULL,NULL
FINISHED,165107,Peru,832,467,3,779,Australia,,"{'goalsHomeTeam': 0, 'goalsAwayTeam': 2}",2018-06-26T14:00:00Z,0,2,2,2,164,2,0,4,3,NULL,NULL,NULL,NULL
FINISHED,165115,Argentina,762,467,3,776,Nigeria,,"{'goalsHomeTeam': 1, 'goalsAwayTeam': 2}",2018-06-26T18:00:00Z,1,2,3,3,170,3,0,3,2,NULL,NULL,NULL,NULL
FINISHED,165114,Croatia,799,467,3,1066,Iceland,,"{'goalsHomeTeam': 1, 'goalsAwayTeam': 2}",2018-06-26T18:00:00Z,1,2,2,7,179,3,0,4,1,NULL,NULL,NULL,NULL
FINISHED,165102,Sweden,792,467,3,769,Mexico,,"{'goalsHomeTeam': 0, 'goalsAwayTeam': 3}",2018-06-27T14:00:00Z,0,3,3,5,187,1,1,2,1,NULL,NULL,NULL,NULL
FINISHED,165106,Germany,759,467,3,772,Korea Republic,,"{'goalsHomeTeam': 2, 'goalsAwayTeam': 0}",2018-06-27T14:00:00Z,2,0,3,2,192,1,1,3,4,NULL,NULL,NULL,NULL
FINISHED,165116,Brazil,764,467,3,780,Serbia,,"{'goalsHomeTeam': 0, 'goalsAwayTeam': 2}",2018-06-27T18:00:00Z,0,2,2,5,199,0,1,3,1,NULL,NULL,NULL,NULL
FINISHED,165108,Costa Rica,793,467,3,788,Switzerland,,"{'goalsHomeTeam': 2, 'goalsAwayTeam': 2}",2018-06-27T18:00:00Z,2,2,5,2,206,0,1,2,4,NULL,NULL,NULL,NULL
FINISHED,165104,Poland,794,467,3,766,Japan,,"{'goalsHomeTeam': 0, 'goalsAwayTeam': 1}",2018-06-28T14:00:00Z,0,1,4,2,212,2,1,2,4,NULL,NULL,NULL,NULL
FINISHED,165103,Colombia,818,467,3,804,Senegal,,"{'goalsHomeTeam': 0, 'goalsAwayTeam': 1}",2018-06-28T14:00:00Z,0,1,4,5,221,2,1,3,1,NULL,NULL,NULL,NULL
FINISHED,165110,Tunisia,802,467,3,1836,Panama,,"{'halfTime': {'goalsHomeTeam': 1, 'goalsAwayTeam': 0}, 'goalsHomeTeam': 1, 'goalsAwayTeam': 2}",2018-06-28T18:00:00Z,1,2,2,5,228,3,1,4,3,NULL,NULL,NULL,NULL
FINISHED,165105,Belgium,805,467,3,770,England,,"{'halfTime': {'goalsHomeTeam': 0, 'goalsAwayTeam': 0}, 'goalsHomeTeam': 0, 'goalsAwayTeam': 1}",2018-06-28T18:00:00Z,0,1,8,9,245,3,1,2,1,NULL,NULL,NULL,NULL
FINISHED,165119,Argentina,762,467,4,773,France,,"{'halfTime': {'goalsHomeTeam': 1, 'goalsAwayTeam': 1}, 'goalsHomeTeam': 4, 'goalsAwayTeam': 3}",2018-06-30T14:00:00Z,4,3,7,6,258,2,0,1,2,NULL,NULL,NULL,NULL
FINISHED,165123,Portugal,765,467,4,758,Uruguay,,"{'halfTime': {'goalsHomeTeam': 1, 'goalsAwayTeam': 0}, 'goalsHomeTeam': 2, 'goalsAwayTeam': 1}",2018-06-30T18:00:00Z,2,1,7,6,271,0,0,1,2,NULL,NULL,NULL,NULL
FINISHED,165122,Russia,808,467,4,760,Spain,,"{'halfTime': {'goalsHomeTeam': 1, 'goalsAwayTeam': 1}, 'penaltyShootout': {'goalsHomeTeam': 3, 'goalsAwayTeam': 4}, 'goalsHomeTeam': 1, 'goalsAwayTeam': 1, 'extraTime': {'goalsHomeTeam': 1, 'goalsAwayTeam': 1}}",2018-07-01T14:00:00Z,1,1,7,9,287,1,0,1,2,1,1,3,4
FINISHED,165121,Denmark,782,467,4,799,Croatia,,"{'halfTime': {'goalsHomeTeam': 1, 'goalsAwayTeam': 1}, 'penaltyShootout': {'goalsHomeTeam': 3, 'goalsAwayTeam': 2}, 'goalsHomeTeam': 1, 'goalsAwayTeam': 1, 'extraTime': {'goalsHomeTeam': 1, 'goalsAwayTeam': 1}}",2018-07-01T18:00:00Z,1,1,8,3,298,3,0,1,2,1,1,3,2
FINISHED,165118,Mexico,769,467,4,764,Brazil,,"{'halfTime': {'goalsHomeTeam': 0, 'goalsAwayTeam': 0}, 'goalsHomeTeam': 2, 'goalsAwayTeam': 0}",2018-07-02T14:00:00Z,2,0,7,3,308,0,1,1,2,NULL,NULL,NULL,NULL
FINISHED,165120,Japan,766,467,4,805,Belgium,,"{'halfTime': {'goalsHomeTeam': 0, 'goalsAwayTeam': 0}, 'goalsHomeTeam': 3, 'goalsAwayTeam': 2}",2018-07-02T18:00:00Z,3,2,12,6,326,3,1,1,2,NULL,NULL,NULL,NULL
FINISHED,165117,Switzerland,788,467,4,792,Sweden,,"{'halfTime': {'goalsHomeTeam': 0, 'goalsAwayTeam': 0}, 'goalsHomeTeam': 1, 'goalsAwayTeam': 0}",2018-07-03T14:00:00Z,1,0,6,5,337,1,1,1,2,NULL,NULL,NULL,NULL
FINISHED,165124,England,770,467,4,818,Colombia,,"{'halfTime': {'goalsHomeTeam': 0, 'goalsAwayTeam': 0}, 'penaltyShootout': {'goalsHomeTeam': 3, 'goalsAwayTeam': 4}, 'goalsHomeTeam': 1, 'goalsAwayTeam': 1, 'extraTime': {'goalsHomeTeam': 1, 'goalsAwayTeam': 1}}",2018-07-03T18:00:00Z,1,1,6,9,352,2,1,1,2,1,1,3,4
FINISHED,165127,France,773,467,5,758,Uruguay,,"{'halfTime': {'goalsHomeTeam': 0, 'goalsAwayTeam': 1}, 'goalsHomeTeam': 0, 'goalsAwayTeam': 2}",2018-07-06T14:00:00Z,0,2,7,9,368,0,0,1,1,NULL,NULL,NULL,NULL
FINISHED,165126,Belgium,805,467,5,764,Brazil,,"{'halfTime': {'goalsHomeTeam': 0, 'goalsAwayTeam': 2}, 'goalsHomeTeam': 1, 'goalsAwayTeam': 2}",2018-07-06T18:00:00Z,1,2,8,14,390,0,1,1,1,NULL,NULL,NULL,NULL
FINISHED,165125,England,770,467,5,792,Sweden,,"{'halfTime': {'goalsHomeTeam': 0, 'goalsAwayTeam': 1}, 'goalsHomeTeam': 0, 'goalsAwayTeam': 2}",2018-07-07T14:00:00Z,0,2,6,11,407,1,1,1,2,NULL,NULL,NULL,NULL
FINISHED,165128,Croatia,799,467,5,808,Russia,,"{'halfTime': {'goalsHomeTeam': 1, 'goalsAwayTeam': 1}, 'penaltyShootout': {'goalsHomeTeam': 3, 'goalsAwayTeam': 4}, 'goalsHomeTeam': 1, 'goalsAwayTeam': 1, 'extraTime': {'goalsHomeTeam': 2, 'goalsAwayTeam': 2}}",2018-07-07T18:00:00Z,1,1,10,9,426,0,0,2,1,2,2,3,4
FINISHED,165130,Belgium,805,467,6,773,France,,"{'halfTime': {'goalsHomeTeam': 0, 'goalsAwayTeam': 0}, 'goalsHomeTeam': 1, 'goalsAwayTeam': 0}",2018-07-10T18:00:00Z,1,0,10,14,450,2,0,1,1,NULL,NULL,NULL,NULL
FINISHED,165129,England,770,467,6,799,Croatia,,"{'halfTime': {'goalsHomeTeam': 0, 'goalsAwayTeam': 1}, 'goalsHomeTeam': 1, 'goalsAwayTeam': 1, 'extraTime': {'goalsHomeTeam': 2, 'goalsAwayTeam': 1}}",2018-07-11T18:00:00Z,1,1,10,12,472,3,0,1,2,2,1,NULL,NULL
TIMED,165131,England,770,467,7,805,Belgium,,"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",2018-07-14T14:00:00Z,,,14,12,498,3,1,1,2,NULL,NULL,NULL,NULL
TIMED,165132,Croatia,799,467,8,773,France,,"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",2018-07-15T15:00:00Z,,,10,10,518,2,0,1,1,NULL,NULL,NULL,NULL
