stadium,city,homeTeam,awayTeam,date,time,shortHomeTeam,shortAwayTeam,datetime
Fisht Stadium,Sochi,1A,2B,2018-06-30 00:00:00,18:00,1A,2B,2018-06-30T18:00Z
Luzhniki Stadium,Moscow,1B,2A,2018-07-01 00:00:00,14:00,1B,2A,2018-07-01T14:00Z
Nizhny Novgorod Stadium,Nizhny Novgorod,1D,2C,2018-07-01 00:00:00,18:00,1D,2C,2018-07-01T18:00Z
Samara Arena,Samara,1E,2F,2018-07-02 00:00:00,14:00,1E,2F,2018-07-02T14:00Z
Rostov Arena,Rostov-On-Don,1G,2H,2018-07-02 00:00:00,18:00,1G,2H,2018-07-02T18:00Z
Saint Petersburg Stadium,St. Petersburg,1F,2E,2018-07-03 00:00:00,14:00,1F,2E,2018-07-03T14:00Z
Spartak Stadium,Moscow,1H,2G,2018-07-03 00:00:00,18:00,1H,2G,2018-07-03T18:00Z
Nizhny Novgorod Stadium,Nizhny Novgorod,W49,W50,2018-07-06 00:00:00,14:00,W49,W50,2018-07-06T14:00Z
Kazan Arena,Kazan,W53,W54,2018-07-06 00:00:00,18:00,W53,W54,2018-07-06T18:00Z
Samara Arena,Samara,W55,W56,2018-07-07 00:00:00,14:00,W55,W56,2018-07-07T14:00Z
Fisht Stadium,Sochi,W51,W52,2018-07-07 00:00:00,18:00,W51,W52,2018-07-07T18:00Z
Saint Petersburg Stadium,St. Petersburg,W57,W58,2018-07-10 00:00:00,18:00,W57,W58,2018-07-10T18:00Z
Luzhniki Stadium,Moscow,W59,W60,2018-07-11 00:00:00,18:00,W59,W60,2018-07-11T18:00Z
Saint Petersburg Stadium,St. Petersburg,L61,L62,2018-07-14 00:00:00,14:00,L61,L62,2018-07-14T14:00Z
Luzhniki Stadium,Moscow,W61,W62,2018-07-15 00:00:00,15:00,W61,W62,2018-07-15T15:00Z
