id,competitionId,odds,awayTeamId,status,homeTeamName,matchday,awayTeamName,result,homeTeamId,date,goalsHomeTeam,goalsAwayTeam
165101,467,,808,FINISHED,Uruguay,3,Russia,"{'goalsAwayTeam': 0, 'goalsHomeTeam': 3}",758,2018-06-25T14:00:00Z,3,0
165112,467,,765,FINISHED,Iran,3,Portugal,"{'goalsAwayTeam': 1, 'goalsHomeTeam': 1}",840,2018-06-25T18:00:00Z,1,1
165109,467,,815,FINISHED,Spain,3,Morocco,"{'goalsAwayTeam': 2, 'goalsHomeTeam': 2}",760,2018-06-25T18:00:00Z,2,2
165113,467,,773,FINISHED,Denmark,3,France,"{'goalsAwayTeam': 0, 'goalsHomeTeam': 0}",782,2018-06-26T14:00:00Z,0,0
165107,467,,832,FINISHED,Australia,3,Peru,"{'goalsAwayTeam': 2, 'goalsHomeTeam': 0}",779,2018-06-26T14:00:00Z,0,2
165115,467,,762,FINISHED,Nigeria,3,Argentina,"{'goalsAwayTeam': 2, 'goalsHomeTeam': 1}",776,2018-06-26T18:00:00Z,1,2
165114,467,,799,FINISHED,Iceland,3,Croatia,"{'goalsAwayTeam': 2, 'goalsHomeTeam': 1}",1066,2018-06-26T18:00:00Z,1,2
165102,467,,792,FINISHED,Mexico,3,Sweden,"{'goalsAwayTeam': 3, 'goalsHomeTeam': 0}",769,2018-06-27T14:00:00Z,0,3
165106,467,,759,FINISHED,Korea Republic,3,Germany,"{'goalsAwayTeam': 0, 'goalsHomeTeam': 2}",772,2018-06-27T14:00:00Z,2,0
165116,467,,764,FINISHED,Serbia,3,Brazil,"{'goalsAwayTeam': 2, 'goalsHomeTeam': 0}",780,2018-06-27T18:00:00Z,0,2
165108,467,,793,FINISHED,Switzerland,3,Costa Rica,"{'goalsAwayTeam': 2, 'goalsHomeTeam': 2}",788,2018-06-27T18:00:00Z,2,2
165104,467,,794,FINISHED,Japan,3,Poland,"{'goalsAwayTeam': 1, 'goalsHomeTeam': 0}",766,2018-06-28T14:00:00Z,0,1
165103,467,,818,FINISHED,Senegal,3,Colombia,"{'goalsAwayTeam': 1, 'goalsHomeTeam': 0}",804,2018-06-28T14:00:00Z,0,1
165110,467,,802,FINISHED,Panama,3,Tunisia,"{'goalsAwayTeam': 2, 'halfTime': {'goalsAwayTeam': 0, 'goalsHomeTeam': 1}, 'goalsHomeTeam': 1}",1836,2018-06-28T18:00:00Z,1,2
165105,467,,805,FINISHED,England,3,Belgium,"{'goalsAwayTeam': 1, 'halfTime': {'goalsAwayTeam': 0, 'goalsHomeTeam': 0}, 'goalsHomeTeam': 0}",770,2018-06-28T18:00:00Z,0,1
165119,467,,762,TIMED,France,4,Argentina,"{'goalsAwayTeam': None, 'goalsHomeTeam': None}",773,2018-06-30T14:00:00Z,,
165123,467,,765,TIMED,Uruguay,4,Portugal,"{'goalsAwayTeam': None, 'goalsHomeTeam': None}",758,2018-06-30T18:00:00Z,,
165122,467,,808,TIMED,Spain,4,Russia,"{'goalsAwayTeam': None, 'goalsHomeTeam': None}",760,2018-07-01T14:00:00Z,,
165121,467,,782,TIMED,Croatia,4,Denmark,"{'goalsAwayTeam': None, 'goalsHomeTeam': None}",799,2018-07-01T18:00:00Z,,
165118,467,,769,TIMED,Brazil,4,Mexico,"{'goalsAwayTeam': None, 'goalsHomeTeam': None}",764,2018-07-02T14:00:00Z,,
165120,467,,757,SCHEDULED,,4,,"{'goalsAwayTeam': None, 'goalsHomeTeam': None}",757,2018-07-02T18:00:00Z,,
165117,467,,788,TIMED,Sweden,4,Switzerland,"{'goalsAwayTeam': None, 'goalsHomeTeam': None}",792,2018-07-03T14:00:00Z,,
165124,467,,757,SCHEDULED,,4,,"{'goalsAwayTeam': None, 'goalsHomeTeam': None}",757,2018-07-03T18:00:00Z,,
165127,467,,757,SCHEDULED,,5,,"{'goalsAwayTeam': None, 'goalsHomeTeam': None}",757,2018-07-06T14:00:00Z,,
165126,467,,757,SCHEDULED,,5,,"{'goalsAwayTeam': None, 'goalsHomeTeam': None}",757,2018-07-06T18:00:00Z,,
165125,467,,757,SCHEDULED,,5,,"{'goalsAwayTeam': None, 'goalsHomeTeam': None}",757,2018-07-07T14:00:00Z,,
165128,467,,757,SCHEDULED,,5,,"{'goalsAwayTeam': None, 'goalsHomeTeam': None}",757,2018-07-07T18:00:00Z,,
165130,467,,757,SCHEDULED,,6,,"{'goalsAwayTeam': None, 'goalsHomeTeam': None}",757,2018-07-10T18:00:00Z,,
165129,467,,757,SCHEDULED,,6,,"{'goalsAwayTeam': None, 'goalsHomeTeam': None}",757,2018-07-11T18:00:00Z,,
165131,467,,757,SCHEDULED,,7,,"{'goalsAwayTeam': None, 'goalsHomeTeam': None}",757,2018-07-14T14:00:00Z,,
165132,467,,757,SCHEDULED,,8,,"{'goalsAwayTeam': None, 'goalsHomeTeam': None}",757,2018-07-15T15:00:00Z,,
