competitionId,date,status,homeTeamId,awayTeamId,goalsHomeTeam,goalsAwayTeam
382,1954-06-19T23:00:00Z,FINISHED,784,805,4,1
382,1954-06-19T23:00:00Z,FINISHED,803,772,7,0
382,1954-06-19T23:00:00Z,FINISHED,827,821,8,3
382,1954-06-22T23:00:00Z,FINISHED,788,784,4,1
382,1954-06-22T23:00:00Z,FINISHED,821,803,7,2
382,1954-06-25T23:00:00Z,FINISHED,816,788,7,5
382,1954-06-25T23:00:00Z,FINISHED,758,770,4,2
382,1954-06-26T23:00:00Z,FINISHED,827,764,4,2
382,1954-06-26T23:00:00Z,FINISHED,821,812,2,0
382,1954-06-29T23:00:00Z,FINISHED,821,816,6,1
382,1954-06-29T23:00:00Z,FINISHED,827,758,2,2
382,1954-07-02T23:00:00Z,FINISHED,816,758,3,1
382,1954-07-03T23:00:00Z,FINISHED,821,827,3,2
374,1958-06-07T23:00:00Z,FINISHED,823,770,2,2
374,1958-06-07T23:00:00Z,FINISHED,827,833,1,1
374,1958-06-07T23:00:00Z,FINISHED,792,769,3,0
374,1958-06-07T23:00:00Z,FINISHED,762,821,1,3
374,1958-06-07T23:00:00Z,FINISHED,829,822,1,0
374,1958-06-07T23:00:00Z,FINISHED,773,761,7,3
374,1958-06-07T23:00:00Z,FINISHED,764,816,3,0
374,1958-06-07T23:00:00Z,FINISHED,812,814,1,1
374,1958-06-10T23:00:00Z,FINISHED,812,773,3,2
374,1958-06-10T23:00:00Z,FINISHED,821,822,2,2
374,1958-06-10T23:00:00Z,FINISHED,762,829,3,1
374,1958-06-10T23:00:00Z,FINISHED,761,814,3,2
374,1958-06-10T23:00:00Z,FINISHED,769,833,1,1
374,1958-06-10T23:00:00Z,FINISHED,764,770,0,0
374,1958-06-10T23:00:00Z,FINISHED,823,816,2,0
374,1958-06-11T23:00:00Z,FINISHED,792,827,2,1
374,1958-06-14T23:00:00Z,FINISHED,827,769,4,0
374,1958-06-14T23:00:00Z,FINISHED,764,823,2,0
374,1958-06-14T23:00:00Z,FINISHED,770,816,2,2
374,1958-06-14T23:00:00Z,FINISHED,792,833,0,0
374,1958-06-14T23:00:00Z,FINISHED,761,812,3,3
374,1958-06-14T23:00:00Z,FINISHED,773,814,2,1
374,1958-06-14T23:00:00Z,FINISHED,821,829,2,2
374,1958-06-14T23:00:00Z,FINISHED,822,762,6,1
374,1958-06-16T23:00:00Z,FINISHED,823,770,1,0
374,1958-06-16T23:00:00Z,FINISHED,833,827,2,1
374,1958-06-16T23:00:00Z,FINISHED,829,822,1,1
374,1958-06-18T23:00:00Z,FINISHED,764,833,1,0
374,1958-06-18T23:00:00Z,FINISHED,773,829,4,0
374,1958-06-18T23:00:00Z,FINISHED,792,823,2,0
374,1958-06-18T23:00:00Z,FINISHED,821,812,1,0
374,1958-06-23T23:00:00Z,FINISHED,792,821,3,1
374,1958-06-23T23:00:00Z,FINISHED,764,773,5,2
374,1958-06-27T23:00:00Z,FINISHED,773,821,6,3
374,1958-06-28T23:00:00Z,FINISHED,764,792,5,2
380,1962-05-29T23:00:00Z,FINISHED,762,817,1,0
380,1962-05-29T23:00:00Z,FINISHED,758,818,2,1
380,1962-05-29T23:00:00Z,FINISHED,764,769,2,0
380,1962-05-29T23:00:00Z,FINISHED,767,788,3,1
380,1962-05-30T23:00:00Z,FINISHED,827,770,2,1
380,1962-05-30T23:00:00Z,FINISHED,822,760,1,0
380,1962-05-30T23:00:00Z,FINISHED,821,784,0,0
380,1962-05-30T23:00:00Z,FINISHED,823,812,2,0
380,1962-06-01T23:00:00Z,FINISHED,767,784,2,0
380,1962-06-01T23:00:00Z,FINISHED,764,822,0,0
380,1962-06-01T23:00:00Z,FINISHED,770,762,3,1
380,1962-06-01T23:00:00Z,FINISHED,812,758,3,1
380,1962-06-02T23:00:00Z,FINISHED,760,769,1,0
380,1962-06-02T23:00:00Z,FINISHED,827,817,6,1
380,1962-06-02T23:00:00Z,FINISHED,821,788,2,1
380,1962-06-02T23:00:00Z,FINISHED,823,818,4,4
380,1962-06-05T23:00:00Z,FINISHED,821,767,2,0
