result,homeTeamName,date,status,awayTeamName,awayTeamId,competitionId,homeTeamId,id,odds,matchday
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",Switzerland,2018-06-27T18:00:00Z,TIMED,Costa Rica,793,467,788,165108,,3
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",Japan,2018-06-28T14:00:00Z,TIMED,Poland,794,467,766,165104,,3
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",Senegal,2018-06-28T14:00:00Z,TIMED,Colombia,818,467,804,165103,,3
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",Panama,2018-06-28T18:00:00Z,TIMED,Tunisia,802,467,1836,165110,,3
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",England,2018-06-28T18:00:00Z,TIMED,Belgium,805,467,770,165105,,3
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",,2018-06-30T14:00:00Z,SCHEDULED,,757,467,757,165119,,4
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",,2018-06-30T18:00:00Z,SCHEDULED,,757,467,757,165123,,4
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",,2018-07-01T14:00:00Z,SCHEDULED,,757,467,757,165122,,4
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",,2018-07-01T18:00:00Z,SCHEDULED,,757,467,757,165121,,4
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",,2018-07-02T14:00:00Z,SCHEDULED,,757,467,757,165118,,4
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",,2018-07-02T18:00:00Z,SCHEDULED,,757,467,757,165120,,4
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",,2018-07-03T14:00:00Z,SCHEDULED,,757,467,757,165117,,4
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",,2018-07-03T18:00:00Z,SCHEDULED,,757,467,757,165124,,4
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",,2018-07-06T14:00:00Z,SCHEDULED,,757,467,757,165127,,5
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",,2018-07-06T18:00:00Z,SCHEDULED,,757,467,757,165126,,5
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",,2018-07-07T14:00:00Z,SCHEDULED,,757,467,757,165125,,5
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",,2018-07-07T18:00:00Z,SCHEDULED,,757,467,757,165128,,5
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",,2018-07-10T18:00:00Z,SCHEDULED,,757,467,757,165130,,6
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",,2018-07-11T18:00:00Z,SCHEDULED,,757,467,757,165129,,6
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",,2018-07-14T14:00:00Z,SCHEDULED,,757,467,757,165131,,7
"{'goalsHomeTeam': None, 'goalsAwayTeam': None}",,2018-07-15T15:00:00Z,SCHEDULED,,757,467,757,165132,,8
